"Index" "GOOG.Adjusted"
2010-09-02 231.359042
2010-09-03 234.915493
2010-09-07 231.968423
2010-09-08 235.055341
2010-09-09 237.852555
2010-09-10 237.832573
2010-09-13 240.89452
2010-09-14 239.975437
2010-09-15 240.080339
2010-09-16 240.290127
2010-09-17 244.830596
2010-09-20 253.88655
2010-09-21 256.473961
2010-09-22 257.742696
2010-09-23 256.483953
2010-09-24 263.382078
2010-09-27 264.940516
2010-09-28 263.32213
2010-09-29 263.581875
2010-09-30 262.632833
2010-10-01 262.547914
2010-10-04 260.914533
2010-10-05 268.846604
2010-10-06 266.908555
2010-10-07 264.74072
2010-10-08 267.907538
2010-10-11 269.151302
2010-10-12 270.425025
2010-10-13 271.379085
2010-10-14 270.195269
2010-10-15 300.425093
2010-10-18 308.546984
2010-10-19 303.611924
2010-10-20 303.686837
2010-10-21 305.689822
2010-10-22 305.959573
2010-10-25 307.942576
2010-10-26 308.991531
2010-10-27 307.927611
2010-10-28 308.981555
2010-10-29 306.543968
2010-11-01 307.19333
2010-11-02 307.493041
2010-11-03 309.780741
2010-11-04 311.823723
2010-11-05 312.228304
2010-11-08 313.072475
2010-11-09 312.098432
2010-11-10 311.129407
2010-11-11 308.287239
2010-11-12 301.344176
2010-11-15 297.438058
2010-11-16 291.56892
2010-11-17 291.484001
2010-11-18 297.982518
2010-11-19 295.120398
2010-11-22 295.315176
2010-11-23 291.214281
2010-11-24 297.18832
2010-11-26 294.70581
2010-11-29 290.764746
2010-11-30 277.577891
2010-12-01 281.893579
2010-12-02 285.624871
2010-12-03 286.214284
2010-12-06 288.891602
2010-12-07 293.277214
2010-12-08 294.975531
2010-12-09 295.455055
2010-12-10 295.809695
2010-12-13 297.013494
2010-12-14 297.158361
2010-12-15 294.855666
2010-12-16 295.559957
2010-12-17 295.105404
2010-12-20 297.233273
2010-12-21 301.234286
2010-12-22 302.443073
2010-12-23 301.813693
2010-12-27 300.889622
2010-12-28 299.161346
2010-12-29 300.200325
2010-12-30 299.131387
2010-12-31 296.688813
2011-01-03 301.873641
2011-01-04 300.75975
2011-01-05 304.231297
2011-01-06 306.444085
2011-01-07 307.912617
2011-01-10 306.798725
2011-01-11 307.697825
2011-01-12 308.127408
2011-01-13 308.037501
2011-01-14 311.778769
2011-01-18 319.496049
2011-01-19 315.559972
2011-01-20 313.072475
2011-01-21 305.609921
2011-01-24 305.235299
2011-01-25 309.645881
2011-01-26 307.942576
2011-01-27 308.087443
2011-01-28 300.195307
2011-01-31 299.880632
2011-02-01 305.215316
2011-02-02 305.69484
2011-02-03 304.770739
2011-02-04 305.185327
2011-02-07 306.838691
2011-02-08 308.881641
2011-02-09 307.942576
2011-02-10 307.912617
2011-02-11 311.9386
2011-02-14 313.761772
2011-02-15 311.763774
2011-02-16 311.798721
2011-02-17 312.318211
2011-02-18 314.725808
2011-02-22 304.800728
2011-02-23 305.355165
2011-02-24 304.106413
2011-02-25 304.715809
2011-02-28 306.394144
2011-03-01 300.080429
2011-03-02 300.095424
2011-03-03 304.476047
2011-03-04 300.010505
2011-03-07 295.534986
2011-03-08 295.859637
2011-03-09 295.589916
2011-03-10 289.860627
2011-03-11 288.067414
2011-03-14 284.710776
2011-03-15 284.495984
2011-03-16 278.272207
2011-03-17 280.400077
2011-03-18 280.250221
2011-03-21 287.962543
2011-03-22 288.372113
2011-03-23 290.789717
2011-03-24 293.15236
2011-03-25 289.58093
2011-03-28 287.393112
2011-03-29 290.574925
2011-03-30 290.629855
2011-03-31 293.087424
2011-04-01 295.604911
2011-04-04 293.546965
