"Index" "F.Adjusted"
2010-11-23 12.371947
2010-11-24 12.568951
2010-11-26 12.687156
2010-11-29 12.655636
2010-11-30 12.561071
2010-12-01 12.970843
2010-12-02 13.223015
2010-12-03 13.238772
2010-12-06 13.120567
2010-12-07 13.049646
2010-12-08 13.152091
2010-12-09 13.207252
2010-12-10 13.18361
2010-12-13 12.978723
2010-12-14 12.939325
2010-12-15 13.041764
2010-12-16 13.21513
2010-12-17 13.238772
2010-12-20 13.278172
2010-12-21 13.388494
2010-12-22 13.388494
2010-12-23 13.223015
2010-12-27 13.293934
2010-12-28 13.18361
2010-12-29 13.191492
2010-12-30 13.152091
2010-12-31 13.23089
2011-01-03 13.59338
2011-01-04 13.695823
2011-01-05 14.097712
2011-01-06 14.357761
2011-01-07 14.397163
2011-01-10 14.428684
2011-01-11 14.405045
2011-01-12 14.743893
2011-01-13 14.720254
2011-01-14 14.696609
2011-01-18 14.736015
2011-01-19 14.105594
2011-01-20 14.011033
2011-01-21 14.145
2011-01-24 14.129237
2011-01-25 14.097712
2011-01-26 14.475966
2011-01-27 14.806931
2011-01-28 12.821121
2011-01-31 12.568951
2011-02-01 12.521671
2011-02-02 12.135542
2011-02-03 12.41923
2011-02-04 12.387707
2011-02-07 12.695036
2011-02-08 12.797478
2011-02-09 12.679275
2011-02-10 12.568951
2011-02-11 12.907802
2011-02-14 12.679275
2011-02-15 12.687156
2011-02-16 12.647754
2011-02-17 12.584716
2011-02-18 12.427109
2011-02-22 12.001576
2011-02-23 11.710009
2011-02-24 11.583924
2011-02-25 11.875494
2011-02-28 11.859733
2011-03-01 11.552403
2011-03-02 11.552403
2011-03-03 11.631207
2011-03-04 11.363277
2011-03-07 11.040189
2011-03-08 11.402679
2011-03-09 11.260836
2011-03-10 11.07959
2011-03-11 11.315997
2011-03-14 11.268718
2011-03-15 11.560285
2011-03-16 11.174155
2011-03-17 11.237195
2011-03-18 11.41844
2011-03-21 11.497244
2011-03-22 11.300237
2011-03-23 11.276594
2011-03-24 11.851851
2011-03-25 11.828213
2011-03-28 11.710009
2011-03-29 11.694247
2011-03-30 11.710009
2011-03-31 11.74941
2011-04-01 11.946413
2011-04-04 12.253744
2011-04-05 12.442867
2011-04-06 12.395587
2011-04-07 12.237986
2011-04-08 12.080379
2011-04-11 11.710009
2011-04-12 11.74941
2011-04-13 11.804571
2011-04-14 11.670609
2011-04-15 11.591806
2011-04-18 11.520884
2011-04-19 11.552403
2011-04-20 11.891253
2011-04-21 12.159182
2011-04-25 12.245866
2011-04-26 12.340426
2011-04-27 12.277386
2011-04-28 12.214342
2011-04-29 12.190702
2011-05-02 12.174944
2011-05-03 12.119781
2011-05-04 11.938534
2011-05-05 11.883374
2011-05-06 11.907013
2011-05-09 11.883374
2011-05-10 11.938534
2011-05-11 11.938534
2011-05-12 12.025214
2011-05-13 11.883374
2011-05-16 11.922775
2011-05-17 11.796693
2011-05-18 11.914895
2011-05-19 11.914895
2011-05-20 11.820329
2011-05-23 11.662726
2011-05-24 11.552403
2011-05-25 11.489362
2011-05-26 11.473601
2011-05-27 11.505123
2011-05-31 11.757291
2011-06-01 11.213554
2011-06-02 11.174155
2011-06-03 11.040189
2011-06-06 10.961385
2011-06-07 10.992907
2011-06-08 10.795901
2011-06-09 10.874702
2011-06-10 10.520096
2011-06-13 10.354611
2011-06-14 10.583138
2011-06-15 10.362491
2011-06-16 10.110324
2011-06-17 10.063042
2011-06-20 10.197004
2011-06-21 10.496453
2011-06-22 10.527975
2011-06-23 10.614658
2011-06-24 10.433413
2011-06-27 10.606776
2011-06-28 10.504334
2011-06-29 10.575253
2011-06-30 10.866824
2011-07-01 11.048073
2011-07-05 11.111112
2011-07-06 11.000788
2011-07-07 11.126874
2011-07-08 10.937745
2011-07-11 10.496453
2011-07-12 10.33885
2011-07-13 10.457053
2011-07-14 10.315209
2011-07-15 10.315209
2011-07-18 10.165484
2011-07-19 10.315209
2011-07-20 10.307329
2011-07-21 10.464932
2011-07-22 10.488574
2011-07-25 10.378251
2011-07-26 10.197004
2011-07-27 9.747833
2011-07-28 9.708433
2011-07-29 9.62175
2011-08-01 9.732073
2011-08-02 9.338064
2011-08-03 9.180457
2011-08-04 8.557921
2011-08-05 8.542161
2011-08-08 7.82506
